"","country","sex","bc_cate","edu2","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion"
"457","Cyprus","Men","1950-1959","Low",6.87107727227531,0.29774822476825,0.0897723064105662,4.3,30.2
"458","Cyprus","Men","1960-1969","High",3.51925992757017,0.265996348744046,NA,7.6,NA
"459","Cyprus","Men","1960-1969","Low",6.98036830212395,0.582587613534944,0.192289914516153,8.3,33
"460","Cyprus","Men","1970-1979","High",2.35375575973467,0.484609825571182,0.0332510763125882,20.6,6.9
"461","Cyprus","Men","1970-1979","Low",4.22359511991888,0.752022216863919,0.35839604018948,17.8,47.7
"462","Cyprus","Men","1980-1989","High",1.36356606602124,0.498532424222113,0.0996768286112157,36.6,20
"463","Cyprus","Men","1980-1989","Low",0.864847282020811,0.25760312701847,0.25760312701847,29.8,100
"464","Cyprus","Women","1920-1929","High",0.549103482398713,0.0285846119935442,0.0285846119935442,5.2,100
"465","Cyprus","Women","1920-1929","Low",0.422087022466501,NA,NA,NA,NA
"466","Cyprus","Women","1930-1939","High",2.49393075172765,0.232176462789099,0.0604456121475749,9.3,26
"467","Cyprus","Women","1930-1939","Low",1.50719251812513,0.0286161406646066,NA,1.9,NA
"468","Cyprus","Women","1940-1949","High",2.89173961024109,0.259973047696081,0.0381520953801839,9,14.7
