"","country","sex","edu2","n_total","n_childless","n_niu","n","continent","p_childless","p_niu","gii"
"1","Albania","Men","All",2735.20209482312,310.746185973286,123.531806066632,2,"Europe & North America",11.3609954657987,39.7532815019818,0.282500006258488
"2","Albania","Women","All",7142.06658288837,235.059734776616,125.222298279405,2,"Europe & North America",3.29120055166937,53.2725429978073,0.282500006258488
"3","Angola","Men","All",1538.66016004235,34.0221550539136,16.8870841041207,2,"Africa",2.21115460953881,49.6355509442609,0.611000001430511
"4","Angola","Women","All",3323.77666264772,90.5595896393061,31.9809318184853,2,"Africa",2.72459911813588,35.3147932161172,0.611000001430511
"5","Armenia","Men","All",966.424166679382,99.387645572424,71.7789593636989,2,"FSU",10.284060457006,72.221209135489,0.399499997496605
"6","Armenia","Women","All",2136.06487603486,192.872584939003,131.824488207698,2,"FSU",9.02934115451722,68.3479657046066,0.399499997496605
"7","Austria","Men","All",748982.798596082,212852.122011397,81829.6660336476,2,"Europe & North America",28.4188264951309,38.4443740848711,0.130000002682209
"8","Austria","Women","All",740692.714117835,147093.638845918,37571.2666601586,2,"Europe & North America",19.8589288165345,25.5424143116853,0.130000002682209
"9","Azerbaijan","Men","All",742.199502591044,44.5655828490853,16.3962310478091,2,"Asia",6.0045287949541,36.7912411318225,0.346000000834465
"10","Azerbaijan","Women","All",2895.82182594761,349.494472421706,229.553766667842,2,"Asia",12.0689218269615,65.6816587333201,0.346000000834465
"11","Belgium","Men","All",1291.07514255244,273.966280418219,93.2996648678974,2,"Europe & North America",21.2200104694597,34.0551635498618,0.113000001758337
"12","Belgium","Women","All",1267.02504679421,177.262598039407,46.0699811972938,2,"Europe & North America",13.9904572911098,25.9896795527345,0.113000001758337
"13","Benin","Men","All",2005.14568975568,43.5614808201789,17.1980608403683,2,"Africa",2.17248457519747,39.4799729406849,0.645999997854233
"14","Benin","Women","All",3121.41253536939,41.7871548831463,8.33000800013542,2,"Africa",1.33872579832518,19.934374626436,0.645999997854233
"15","Bolivia","Men","All",1591.51166055724,107.929803833365,73.9547288492322,2,"Latin America",6.78159051599885,68.521137093339,0.537499994039536
"16","Bolivia","Women","All",5072.16595546156,226.353803224862,131.984761312604,2,"Latin America",4.46266555969311,58.3090539819599,0.537499994039536
"17","Brazil","Men","All",67.9916384220123,11.0489511489868,7.00387915968895,2,"Latin America",16.2504557992968,63.3895386561756,0.478500008583069
"18","Brazil","Women","All",464.168226718903,41.7739008069038,26.9370047450066,2,"Latin America",8.99973294212613,64.4828570583354,0.478500008583069
"19","Bulgaria","Men","All",1405.70864356817,260.289350192094,178.793400415359,2,"Europe & North America",18.5165931349324,68.6902480963624,0.28099999576807
"20","Bulgaria","Women","All",1526.44894985261,130.455049935419,79.4148252253589,2,"Europe & North America",8.5463093900399,60.8752403718161,0.28099999576807
"21","Burkina Faso","Men","All",2258.3276259005,74.5120966434479,32.011028856039,2,"Africa",3.29943697224783,42.9608483696504,0.645999997854233
