"","country","edu2","continent","gii","Men","Women","diff"
"1","Albania","Low","Europe & North America",0.282500006258488,41.6666666666667,32.520325203252,1.28125
"2","Albania","High","Europe & North America",0.282500006258488,60.15625,37.0629370629371,1.62308372641509
"3","Angola","Low","Africa",0.611000001430511,26.0869565217391,37.1428571428571,0.702341137123746
"4","Angola","High","Africa",0.611000001430511,44.4444444444444,36.3636363636364,1.22222222222222
"5","Armenia","Low","FSU",0.399499997496605,54.0983606557377,70,0.772833723653396
"6","Armenia","High","FSU",0.399499997496605,72.5490196078431,71.4285714285714,1.0156862745098
"7","Austria","Low","Europe & North America",0.130000002682209,30.8219178082192,20.9821428571429,1.46895948703002
"8","Austria","High","Europe & North America",0.130000002682209,24.5398773006135,23.6994219653179,1.03546311536735
"9","Azerbaijan","Low","Asia",0.346000000834465,65.587044534413,50,1.31174089068826
"10","Azerbaijan","High","Asia",0.346000000834465,73.109243697479,27.2727272727273,2.68067226890756
"11","Belgium","Low","Europe & North America",0.113000001758337,32.4742268041237,24.1379310344828,1.34536082474227
"12","Belgium","High","Europe & North America",0.113000001758337,32.4561403508772,27.1844660194175,1.19392230576441
"13","Benin","Low","Africa",0.645999997854233,14.8148148148148,44,0.336700336700337
"14","Benin","High","Africa",0.645999997854233,36.3636363636364,33.3333333333333,1.09090909090909
"15","Bolivia","Low","Latin America",0.537499994039536,50.7692307692308,59.5744680851064,0.852197802197802
"16","Bolivia","High","Latin America",0.537499994039536,65.1612903225806,73.7704918032787,0.883297491039426
"17","Brazil","Low","Latin America",0.478500008583069,66.6666666666667,50,1.33333333333333
"18","Brazil","High","Latin America",0.478500008583069,64.2857142857143,60,1.07142857142857
"19","Bulgaria","Low","Europe & North America",0.28099999576807,66.8918918918919,56.4102564102564,1.18581081081081
"20","Bulgaria","High","Europe & North America",0.28099999576807,68.5185185185185,62.1359223300971,1.10271990740741
"21","Burkina Faso","Low","Africa",0.645999997854233,0,28.5714285714286,0
"22","Burkina Faso","High","Africa",0.645999997854233,50,68.9655172413793,0.725
"23","Burundi","Low","Africa",0.578000009059906,59.7826086956522,50,1.19565217391304
"24","Burundi","High","Africa",0.578000009059906,54.9019607843137,62.0689655172414,0.884531590413943
"25","Cambodia","Low","Asia",0.555999994277954,63.8766519823789,30.5555555555556,2.0905086103324
"26","Cambodia","High","Asia",0.555999994277954,65.3465346534654,27.027027027027,2.41782178217822
"27","Cameroon","Low","Africa",0.659999996423721,4.76190476190476,56.8181818181818,0.0838095238095238
"28","Cameroon","High","Africa",0.659999996423721,24.1935483870968,55.5555555555556,0.435483870967742
"29","Canada","Low","Europe & North America",0.141500003635883,31.9182389937107,31.0549777117385,1.02779783936686
"30","Canada","High","Europe & North America",0.141500003635883,31.6017316017316,28.952380952381,1.09150717703349
"31","Colombia","Low","Latin America",0.480499997735023,46.2962962962963,54.9591598599767,0.842376346622631
"32","Colombia","High","Latin America",0.480499997735023,53.0612244897959,48.0392156862745,1.10453977509371
"33","Congo","Low","Africa",0.617500007152557,25,64.4444444444444,0.387931034482759
"34","Congo","High","Africa",0.617500007152557,14.5833333333333,41.9354838709677,0.34775641025641
"35","Croatia","Low","Europe & North America",0.163500003516674,53.8461538461538,50,1.07692307692308
