"","country","sex","continent","bc","ratio_neverinunion","n.x","ratio_childless","n.y"
"83","Hungary","Men","Europe & North America","ratio_7050",0.977973568281938,2,2.54330708661417,2
"84","Hungary","Women","Europe & North America","ratio_7050",1.47058823529412,2,2.80246913580247,2
"85","Ireland","Men","Europe & North America","ratio_7050",0.508379888268156,2,1.10943396226415,2
"86","Ireland","Women","Europe & North America","ratio_7050",0.339350180505415,2,0.908163265306122,2
"87","Italy","Men","Europe & North America","ratio_7050",1.36533333333333,2,2.33333333333333,2
"88","Italy","Women","Europe & North America","ratio_7050",1.55228758169935,2,1.64024390243902,2
"89","Poland","Men","Europe & North America","ratio_7050",0.968174204355109,2,1.26347305389222,2
"90","Poland","Women","Europe & North America","ratio_7050",1.07112068965517,2,1.11650485436893,2
"91","Serbia","Men","Europe & North America","ratio_7050",1.0952380952381,2,1.8030303030303,2
"92","Serbia","Women","Europe & North America","ratio_7050",2.09009009009009,2,2.02380952380952,2
"93","Spain","Men","Europe & North America","ratio_7050",0.798728813559322,2,1.88741721854305,2
"94","Spain","Women","Europe & North America","ratio_7050",0.751173708920188,2,1.94915254237288,2
"95","The UK","Men","Europe & North America","ratio_7050",0.641379310344828,2,1.59722222222222,2
"96","The UK","Women","Europe & North America","ratio_7050",0.466666666666667,2,1.22222222222222,2
"97","Austria","Men","Europe & North America","ratio_8050",1.55851063829787,2,2.77011494252874,2
"98","Austria","Women","Europe & North America","ratio_8050",0.868055555555556,2,1.57342657342657,2
"99","Belarus","Men","FSU","ratio_8050",0.896,2,2.6,2
"100","Belarus","Women","FSU","ratio_8050",0.685352622061483,2,1.27380952380952,2
"101","Belgium","Men","Europe & North America","ratio_8050",1.4591439688716,2,1.54081632653061,2
"102","Belgium","Women","Europe & North America","ratio_8050",2.37341772151899,2,0.801282051282051,2
"103","Croatia","Men","Europe & North America","ratio_8050",1.05287356321839,2,3.04255319148936,2
"104","Croatia","Women","Europe & North America","ratio_8050",1.90559440559441,2,1.30188679245283,2
"105","Czechia","Men","Europe & North America","ratio_8050",0.720640569395018,2,2.08296943231441,2
"106","Czechia","Women","Europe & North America","ratio_8050",0.990654205607477,2,2.13725490196078,2
"107","Estonia","Men","Europe & North America","ratio_8050",0.723076923076923,2,2.83809523809524,2
