"","country","sex","bc_cate","education","datasetname","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion"
"640","Congo","Women","1965-1969","Medium","DHS",96,6,4,6.2,66.7
"641","Congo","Women","1965-1969","High","DHS",415,13,5,3.1,38.5
"642","Congo","Women","1970-1974","Low","DHS",21,1,1,4.8,100
"643","Congo","Women","1970-1974","Medium","DHS",111,6,1,5.4,16.7
"644","Congo","Women","1970-1974","High","DHS",511,14,5,2.7,35.7
"645","Congo","Women","1975-1979","Low","DHS",11,5,4,45.5,80
"646","Congo","Women","1975-1979","Medium","DHS",64,6,6,9.4,100
"647","Congo","Women","1975-1979","High","DHS",197,12,7,6.1,58.3
"648","CzechRepublic","Men","1925-1929","Low","GGS",42,12,7,28.6,58.3
"649","CzechRepublic","Men","1925-1929","Medium","GGS",101,21,16,20.8,76.2
"650","CzechRepublic","Men","1925-1929","High","GGS",22,3,2,13.6,66.7
"651","CzechRepublic","Men","1930-1934","Low","GGS",94,25,18,26.6,72
"652","CzechRepublic","Men","1930-1934","Medium","GGS",138,27,23,19.6,85.2
"653","CzechRepublic","Men","1930-1934","High","GGS",32,4,3,12.5,75
"654","CzechRepublic","Men","1930-1934",NA,"GGS",2,NA,NA,NA,NA
"655","CzechRepublic","Men","1935-1939","Low","GGS",51,17,14,33.3,82.4
"656","CzechRepublic","Men","1935-1939","Medium","GGS",169,24,20,14.2,83.3
"657","CzechRepublic","Men","1935-1939","High","GGS",40,4,4,10,100
"658","CzechRepublic","Men","1935-1939",NA,"GGS",2,NA,NA,NA,NA
"659","CzechRepublic","Men","1940-1944","Low","GGS",59,21,17,35.6,81
"660","CzechRepublic","Men","1940-1944","Medium","GGS",222,35,30,15.8,85.7
"661","CzechRepublic","Men","1940-1944","High","GGS",51,9,6,17.6,66.7
"662","CzechRepublic","Men","1940-1944",NA,"GGS",8,1,1,12.5,100
"663","CzechRepublic","Men","1945-1949","Low","GGS",68,18,16,26.5,88.9
"664","CzechRepublic","Men","1945-1949","Medium","GGS",248,46,41,18.5,89.1
"665","CzechRepublic","Men","1945-1949","High","GGS",66,14,10,21.2,71.4
"666","CzechRepublic","Men","1945-1949",NA,"GGS",8,4,4,50,100
"667","CzechRepublic","Men","1950-1954","Low","GGS",62,24,23,38.7,95.8
"668","CzechRepublic","Men","1950-1954","Medium","GGS",289,68,55,23.5,80.9
"669","CzechRepublic","Men","1950-1954","High","GGS",68,7,6,10.3,85.7
"670","CzechRepublic","Men","1950-1954",NA,"GGS",6,1,1,16.7,100
"671","CzechRepublic","Men","1955-1959","Low","GGS",54,21,19,38.9,90.5
"672","CzechRepublic","Men","1955-1959","Medium","GGS",246,61,51,24.8,83.6
"673","CzechRepublic","Men","1955-1959","High","GGS",71,15,9,21.1,60
"674","CzechRepublic","Men","1955-1959",NA,"GGS",10,2,2,20,100
"675","CzechRepublic","Men","1960-1964","Low","GGS",60,27,26,45,96.3
"676","CzechRepublic","Men","1960-1964","Medium","GGS",250,63,53,25.2,84.1
"677","CzechRepublic","Men","1960-1964","High","GGS",87,21,17,24.1,81
"678","CzechRepublic","Men","1960-1964",NA,"GGS",4,1,1,25,100
"679","CzechRepublic","Men","1965-1969","Low","GGS",59,22,20,37.3,90.9
"680","CzechRepublic","Men","1965-1969","Medium","GGS",244,55,47,22.5,85.5
"681","CzechRepublic","Men","1965-1969","High","GGS",91,22,17,24.2,77.3
"682","CzechRepublic","Men","1965-1969",NA,"GGS",11,2,2,18.2,100
"683","CzechRepublic","Men","1970-1974","Low","GGS",4,1,1,25,100
"684","CzechRepublic","Men","1970-1974","Medium","GGS",29,5,4,17.2,80
