"","country","sex","continent","gii","Low","High","diff"
"1","Albania","Men","Europe & North America",0.282500006258488,42.2868783509756,37.9416173445051,1.11452492831331
"2","Albania","Women","Europe & North America",0.282500006258488,40.8845708071367,63.0517823297835,0.648428470955756
"3","Angola","Men","Africa",0.611000001430511,40.4416182255909,60.2551104682918,0.671173248398119
"4","Angola","Women","Africa",0.611000001430511,18.456558900667,59.7934918903194,0.30867170183876
"5","Armenia","Men","FSU",0.399499997496605,70.5393537087682,74.0550777150762,0.952525551052223
"6","Armenia","Women","FSU",0.399499997496605,55.1449276570255,74.6017903854781,0.739190405110706
"7","Austria","Men","Europe & North America",0.130000002682209,40.2100518082747,36.4082524895605,1.10442136215695
"8","Austria","Women","Europe & North America",0.130000002682209,26.0121354573563,25.1792534522994,1.03307810561718
"9","Azerbaijan","Men","Asia",0.346000000834465,46.9476838133435,22.3832051094022,2.09745135175582
"10","Azerbaijan","Women","Asia",0.346000000834465,63.0063213784962,71.0102461804387,0.887284930943566
"11","Belgium","Men","Europe & North America",0.113000001758337,34.1707587657577,33.9159873445895,1.00751183854917
"12","Belgium","Women","Europe & North America",0.113000001758337,23.8391773987004,28.1416139269337,0.847114790949654
"13","Benin","Men","Africa",0.645999997854233,38.0115593331506,41.4139581505141,0.917844152809594
"14","Benin","Women","Africa",0.645999997854233,12.7697093368954,28.4819245529831,0.448344328457887
"15","Bolivia","Men","Latin America",0.537499994039536,57.6051338699204,75.3552745350221,0.764447269622087
"16","Bolivia","Women","Latin America",0.537499994039536,47.7678498451095,63.5109971713355,0.752119348972664
"17","Brazil","Men","Latin America",0.478500008583069,65.7361541854837,58.8574148390293,1.11687124494454
"18","Brazil","Women","Latin America",0.478500008583069,62.5367348075116,65.2772695334232,0.958017013494899
"19","Bulgaria","Men","Europe & North America",0.28099999576807,65.1301579719922,70.7335338660937,0.920781903747248
"20","Bulgaria","Women","Europe & North America",0.28099999576807,57.0277281560643,62.9818646102083,0.905462683726595
"21","Burkina Faso","Men","Africa",0.645999997854233,28.2637645813783,64.3298507602323,0.439356912030186
"22","Burkina Faso","Women","Africa",0.645999997854233,0,56.3539929094577,0
"23","Burundi","Men","Africa",0.578000009059906,50.7498838869781,64.5714805980623,0.785948895966635
"24","Burundi","Women","Africa",0.578000009059906,61.901210256254,58.4824959279032,1.05845705238992
"25","Cambodia","Men","Asia",0.555999994277954,37.3160140994635,21.4511442067026,1.73958152254665
"26","Cambodia","Women","Asia",0.555999994277954,62.7321658058101,62.4927279126674,1.00383145209275
"27","Cameroon","Men","Africa",0.659999996423721,53.4586472647327,58.8470678620401,0.908433490519189
"28","Cameroon","Women","Africa",0.659999996423721,6.45674025203389,25.3489909534762,0.254713896260571
"29","Canada","Men","Europe & North America",0.141500003635883,28.4657140192759,27.2644626046579,1.04405923681814
"30","Canada","Women","Europe & North America",0.141500003635883,25.8188282860115,25.2550239248201,1.022324443757
"31","Colombia","Men","Latin America",0.480499997735023,53.8861109390293,53.2281654744003,1.01236085179275
"32","Colombia","Women","Latin America",0.480499997735023,47.8589483670495,53.2246523524478,0.899187617988236
"33","Congo","Men","Africa",0.617500007152557,69.7586077537387,36.3480011190349,1.91918690453674
"34","Congo","Women","Africa",0.617500007152557,26.0081867936948,20.2354523090649,1.28527825306103
"35","Czechia","Men","Europe & North America",0.157499998807907,37.3670260241043,35.3618652794615,1.05670404343199
"36","Czechia","Women","Europe & North America",0.157499998807907,37.0593609820581,35.387128163964,1.0472553977917
"37","Denmark","Men","Europe & North America",0.0620000008493662,11.793758331897,21.6708964224554,0.544221065062922
"38","Denmark","Women","Europe & North America",0.0620000008493662,13.4590587277084,15.2317138358171,0.883620771292306
"39","Dominican Republic","Men","Latin America",0.497500002384186,43.1269069754053,28.1879406078747,1.52997721881666
"40","Dominican Republic","Women","Latin America",0.497500002384186,23.864396217419,46.931068141779,0.508498893426514
"41","Estonia","Men","Europe & North America",0.222500003874302,49.3755419439761,28.977221978938,1.70394325514932
"42","Estonia","Women","Europe & North America",0.222500003874302,39.7418349382204,54.6225268104319,0.727572253772604
"43","Finland","Men","Europe & North America",0.0769999995827675,33.9187587330561,24.6507359643462,1.37597347122272
"44","Finland","Women","Europe & North America",0.0769999995827675,15.3939841415567,29.3376342493715,0.524717978645005
"45","France","Men","Europe & North America",0.161999993026257,39.9981197887676,30.454332830865,1.31338026713329
"46","France","Women","Europe & North America",0.161999993026257,35.3654813277501,30.8030179404155,1.1481174148637
"47","Gabon","Men","Africa",0.600499987602234,53.9291348266478,28.785358099859,1.87349188568586
"48","Gabon","Women","Africa",0.600499987602234,18.8678962106561,31.3175424731717,0.602470523567401
"49","Gambia","Men","Africa",0.706000000238419,37.8430810648833,61.9145010476722,0.611215150320688
"50","Gambia","Women","Africa",0.706000000238419,0.751040407276213,17.0699425843227,0.0439978285554386
"51","Georgia","Men","FSU",0.401500001549721,70.9972108718983,72.7657839739772,0.975694990069628
"52","Georgia","Women","FSU",0.401500001549721,71.9114811338765,79.4668888628939,0.904923826298863
"53","Germany","Men","Europe & North America",0.114500001072884,38.08564418359,34.0455965556024,1.11866579049039
"54","Germany","Women","Europe & North America",0.114500001072884,21.5959019411022,28.7631730611901,0.750817786867935
"55","Ghana","Men","Africa",0.588499993085861,54.4571491930952,57.1738278147066,0.952483877231102
"56","Ghana","Women","Africa",0.588499993085861,15.1142486018914,25.5863875560372,0.590714440199477
"57","Guatemala","Men","Latin America",0.566500008106232,63.167709569829,65.5629057832314,0.963467204743463
"58","Guatemala","Women","Latin America",0.566500008106232,70.4924693102051,71.8200205244192,0.981515582917959
"59","Guinea","Men","Africa",0.677500009536743,37.9607729580478,43.6295237197886,0.870070762217152
"60","Guinea","Women","Africa",0.677500009536743,14.3658415435623,16.9148241004376,0.849304814419598
"61","Guyana","Men","Latin America",0.528499990701675,50.4019677511251,46.728051426107,1.07862335819476
"62","Guyana","Women","Latin America",0.528499990701675,39.8146965024566,51.5614233323952,0.772179934711805
"63","Honduras","Men","Latin America",0.501499995589256,51.7536728030252,48.5721511255435,1.06550094248983
"64","Honduras","Women","Latin America",0.501499995589256,53.4668562417313,63.827294650414,0.837680126262167
