"","country","sex","edu2","n_total","n_childless","n_niu","n","continent","p_childless","p_niu","gii"
"112","Nepal","Women","All",1225,19,4,2,"Asia",1.55102040816327,21.0526315789474,0.590499997138977
"113","Netherlands","Men","All",2968,765,230,2,"Europe & North America",25.7749326145553,30.0653594771242,0.0760000012814999
"114","Netherlands","Women","All",3156,543,114,2,"Europe & North America",17.2053231939163,20.9944751381215,0.0760000012814999
"115","Nicaragua","Men","All",1072,47,27,2,"Latin America",4.38432835820896,57.4468085106383,0.544500008225441
"116","Nicaragua","Women","All",187,12,6,2,"Latin America",6.41711229946524,50,0.544500008225441
"117","Niger","Men","All",3160,71,22,2,"Africa",2.24683544303797,30.9859154929577,0.743000000715256
"118","Niger","Women","All",1499,52,23,2,"Africa",3.46897931954636,44.2307692307692,0.743000000715256
"119","Norway","Men","All",2373,467,148,2,"Europe & North America",19.6797302991993,31.6916488222698,0.0859999991953373
"120","Norway","Women","All",2451,315,80,2,"Europe & North America",12.8518971848225,25.3968253968254,0.0859999991953373
"121","Peru","Men","All",1337,76,58,2,"Latin America",5.68436798803291,76.3157894736842,0.470500007271767
"122","Peru","Women","All",99,11,8,2,"Latin America",11.1111111111111,72.7272727272727,0.470500007271767
"123","Philippines","Men","All",3008,266,169,2,"Asia",8.84308510638298,63.5338345864662,0.481000006198883
"124","Philippines","Women","All",937,122,75,2,"Asia",13.0202774813234,61.4754098360656,0.481000006198883
"125","Poland","Men","All",2428,460,291,2,"Europe & North America",18.9456342668863,63.2608695652174,0.182500004768372
"126","Poland","Women","All",3051,325,178,2,"Europe & North America",10.6522451655195,54.7692307692308,0.182500004768372
"127","Portugal","Men","All",318,68,26,2,"Europe & North America",21.3836477987421,38.2352941176471,0.160999998450279
"128","Portugal","Women","All",476,71,27,2,"Europe & North America",14.9159663865546,38.0281690140845,0.160999998450279
"129","Republic of Moldova","Men","All",2002,98,27,2,"FSU",4.8951048951049,27.5510204081633,0.340000003576279
"130","Republic of Moldova","Women","All",533,53,14,2,"FSU",9.9437148217636,26.4150943396226,0.340000003576279
"131","Romania","Men","All",1296,254,116,2,"Europe & North America",19.5987654320988,45.6692913385827,0.395999997854233
"132","Romania","Women","All",1160,115,45,2,"Europe & North America",9.91379310344828,39.1304347826087,0.395999997854233
"133","Russia","Men","All",1052,153,64,2,"FSU",14.5437262357414,41.8300653594771,0.355000004172325
"134","Russia","Women","All",1478,107,44,2,"FSU",7.23951285520974,41.1214953271028,0.355000004172325
"135","Rwanda","Men","All",2521,75,41,2,"Africa",2.97500991669972,54.6666666666667,0.506500005722046
"136","Rwanda","Women","All",1617,42,23,2,"Africa",2.5974025974026,54.7619047619048,0.506500005722046
"137","Sao Tome and Principe","Men","All",749,6,0,2,"Africa",0.801068090787717,0,0.574499994516373
"138","Sao Tome and Principe","Women","All",587,41,23,2,"Africa",6.98466780238501,56.0975609756098,0.574499994516373
"139","Senegal","Men","All",1697,80,27,2,"Africa",4.7142015321155,33.75,0.622500002384186
"140","Senegal","Women","All",977,62,34,2,"Africa",6.34595701125896,54.8387096774194,0.622500002384186
"141","Sierra Leone","Men","All",2774,43,7,2,"Africa",1.55010814708003,16.2790697674419,0.674499988555908
"142","Sierra Leone","Women","All",2175,30,17,2,"Africa",1.37931034482759,56.6666666666667,0.674499988555908
"143","Slovakia","Men","All",341,75,53,2,"FSU",21.9941348973607,70.6666666666667,0.208999998867512
"144","Slovakia","Women","All",341,44,26,2,"FSU",12.9032258064516,59.0909090909091,0.208999998867512
"145","Slovenia","Men","All",333,59,25,2,"Europe & North America",17.7177177177177,42.3728813559322,0.158500000834465
"146","Slovenia","Women","All",387,27,12,2,"Europe & North America",6.97674418604651,44.4444444444444,0.158500000834465
"147","South Africa","Men","All",2510,152,75,2,"Africa",6.05577689243028,49.3421052631579,0.449499994516373
"148","South Africa","Women","All",1124,129,88,2,"Africa",11.4768683274021,68.2170542635659,0.449499994516373
"149","Spain","Men","All",519,123,45,2,"Europe & North America",23.6994219653179,36.5853658536585,0.116999994963408
"150","Spain","Women","All",1284,213,79,2,"Europe & North America",16.588785046729,37.0892018779343,0.116999994963408
"151","Swaziland","Men","All",1101,54,18,2,"Africa",4.90463215258856,33.3333333333333,0.590999990701675
"152","Swaziland","Women","All",777,59,37,2,"Africa",7.59330759330759,62.7118644067797,0.590999990701675
