"","X","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion","continent"
"575",924,"Germany","Men","1960-1969","High",519,147,41,28.3,27.9,"Europe & North America"
"576",925,"Germany","Men","1960-1969","Low",84,28,19,33.3,67.9,"Europe & North America"
"577",926,"Germany","Men","1960-1969","Medium",861,276,126,32.1,45.7,"Europe & North America"
"578",928,"Germany","Men","1970-1979","High",872,246,87,28.2,35.4,"Europe & North America"
"579",929,"Germany","Men","1970-1979","Low",185,55,25,29.7,45.5,"Europe & North America"
"580",930,"Germany","Men","1970-1979","Medium",1374,426,171,31,40.1,"Europe & North America"
"581",939,"Germany","Women","1920-1929","Low",143,35,22,24.5,62.9,"Europe & North America"
"582",940,"Germany","Women","1920-1929","Medium",176,42,22,23.9,52.4,"Europe & North America"
"583",942,"Germany","Women","1930-1939","High",115,23,12,20,52.2,"Europe & North America"
"584",943,"Germany","Women","1930-1939","Low",261,51,21,19.5,41.2,"Europe & North America"
"585",944,"Germany","Women","1930-1939","Medium",495,99,41,20,41.4,"Europe & North America"
"586",946,"Germany","Women","1940-1949","High",219,41,6,18.7,14.6,"Europe & North America"
"587",947,"Germany","Women","1940-1949","Low",162,39,8,24.1,20.5,"Europe & North America"
"588",948,"Germany","Women","1940-1949","Medium",701,107,19,15.3,17.8,"Europe & North America"
"589",950,"Germany","Women","1950-1959","High",390,62,19,15.9,30.6,"Europe & North America"
"590",951,"Germany","Women","1950-1959","Low",153,23,7,15,30.4,"Europe & North America"
"591",952,"Germany","Women","1950-1959","Medium",953,141,29,14.8,20.6,"Europe & North America"
"592",954,"Germany","Women","1960-1969","High",486,84,24,17.3,28.6,"Europe & North America"
"593",955,"Germany","Women","1960-1969","Low",171,25,8,14.6,32,"Europe & North America"
"594",956,"Germany","Women","1960-1969","Medium",1122,163,53,14.5,32.5,"Europe & North America"
"595",958,"Germany","Women","1970-1979","High",893,176,49,19.7,27.8,"Europe & North America"
"596",959,"Germany","Women","1970-1979","Low",264,28,13,10.6,46.4,"Europe & North America"
"597",960,"Germany","Women","1970-1979","Medium",1693,266,62,15.7,23.3,"Europe & North America"
"598",965,"Ghana","Men","1960-1969","High",427,10,1,2.3,10,"Africa"
"599",966,"Ghana","Men","1960-1969","Low",455,6,1,1.3,16.7,"Africa"
"600",967,"Ghana","Men","1970-1979","High",1112,56,18,5,32.1,"Africa"
"601",968,"Ghana","Men","1970-1979","Low",1168,24,4,2.1,16.7,"Africa"
"602",970,"Ghana","Women","1950-1959","Low",197,4,1,2,25,"Africa"
"603",971,"Ghana","Women","1960-1969","High",330,10,7,3,70,"Africa"
"604",972,"Ghana","Women","1960-1969","Low",338,11,9,3.3,81.8,"Africa"
"605",973,"Ghana","Women","1970-1979","High",322,33,17,10.2,51.5,"Africa"
"606",974,"Ghana","Women","1970-1979","Low",580,30,17,5.2,56.7,"Africa"
"607",975,"Guatemala","Men","1960-1969","High",981,65,45,6.6,69.2,"Latin America"
"608",976,"Guatemala","Men","1960-1969","Low",1083,37,26,3.4,70.3,"Latin America"
"609",977,"Guatemala","Men","1970-1979","High",2650,216,160,8.2,74.1,"Latin America"
"610",978,"Guatemala","Men","1970-1979","Low",2910,153,120,5.3,78.4,"Latin America"
"611",980,"Guatemala","Men","1980-1989","Low",73,9,6,12.3,66.7,"Latin America"
"612",981,"Guatemala","Women","1950-1959","High",242,11,6,4.5,54.5,"Latin America"
"613",982,"Guatemala","Women","1950-1959","Low",347,13,7,3.7,53.8,"Latin America"
"614",983,"Guatemala","Women","1960-1969","High",678,39,26,5.8,66.7,"Latin America"
"615",984,"Guatemala","Women","1960-1969","Low",809,39,21,4.8,53.8,"Latin America"
"616",985,"Guatemala","Women","1970-1979","High",609,64,49,10.5,76.6,"Latin America"
"617",986,"Guatemala","Women","1970-1979","Low",1364,129,79,9.5,61.2,"Latin America"
"618",990,"Guinea","Men","1960-1969","Low",157,9,2,5.7,22.2,"Africa"
"619",991,"Guinea","Men","1970-1979","High",199,14,3,7,21.4,"Africa"
"620",992,"Guinea","Men","1970-1979","Low",1797,70,6,3.9,8.6,"Africa"
"621",993,"Guinea","Men","1980-1989","High",159,13,6,8.2,46.2,"Africa"
"622",994,"Guinea","Men","1980-1989","Low",921,41,3,4.5,7.3,"Africa"
"623",997,"Guinea","Women","1960-1969","High",143,2,1,1.4,50,"Africa"
"624",998,"Guinea","Women","1960-1969","Low",410,9,4,2.2,44.4,"Africa"
"625",999,"Guinea","Women","1970-1979","High",263,16,8,6.1,50,"Africa"
"626",1000,"Guinea","Women","1970-1979","Low",519,16,6,3.1,37.5,"Africa"
"627",1001,"Guinea","Women","1980-1989","High",152,25,14,16.4,56,"Africa"
"628",1002,"Guinea","Women","1980-1989","Low",213,20,10,9.4,50,"Africa"
"629",1005,"Guyana","Men","1960-1969","High",605,46,26,7.6,56.5,"Latin America"
"630",1006,"Guyana","Men","1960-1969","Low",607,35,13,5.8,37.1,"Latin America"
"631",1008,"Guyana","Men","1970-1979","High",275,27,17,9.8,63,"Latin America"
"632",1009,"Guyana","Men","1970-1979","Low",344,16,7,4.7,43.8,"Latin America"
"633",1013,"Guyana","Women","1960-1969","High",441,52,22,11.8,42.3,"Latin America"
"634",1014,"Guyana","Women","1960-1969","Low",442,50,26,11.3,52,"Latin America"
"635",1016,"Guyana","Women","1970-1979","High",176,30,17,17,56.7,"Latin America"
"636",1017,"Guyana","Women","1970-1979","Low",246,32,16,13,50,"Latin America"
"637",1019,"Haiti","Men","1950-1959","High",135,NA,NA,NA,NA,"Latin America"
"638",1020,"Haiti","Men","1950-1959","Low",381,NA,NA,NA,NA,"Latin America"
"639",1021,"Haiti","Men","1960-1969","High",588,20,6,3.4,30,"Latin America"
"640",1022,"Haiti","Men","1960-1969","Low",700,6,1,0.9,16.7,"Latin America"
"641",1023,"Haiti","Men","1970-1979","High",1308,124,56,9.5,45.2,"Latin America"
"642",1024,"Haiti","Men","1970-1979","Low",1442,33,14,2.3,42.4,"Latin America"
"643",1025,"Haiti","Men","1980-1989","High",249,44,23,17.7,52.3,"Latin America"
"644",1026,"Haiti","Men","1980-1989","Low",509,17,11,3.3,64.7,"Latin America"
"645",1027,"Haiti","Women","1950-1959","High",538,10,4,1.9,40,"Latin America"
"646",1028,"Haiti","Women","1950-1959","Low",692,18,10,2.6,55.6,"Latin America"
"647",1029,"Haiti","Women","1960-1969","High",922,30,15,3.3,50,"Latin America"
"648",1030,"Haiti","Women","1960-1969","Low",1028,34,19,3.3,55.9,"Latin America"
"649",1031,"Haiti","Women","1970-1979","High",912,69,35,7.6,50.7,"Latin America"
"650",1032,"Haiti","Women","1970-1979","Low",1375,79,61,5.7,77.2,"Latin America"
"651",1033,"Haiti","Women","1980-1989","High",195,33,20,16.9,60.6,"Latin America"
"652",1034,"Haiti","Women","1980-1989","Low",377,40,27,10.6,67.5,"Latin America"
"653",1035,"Honduras","Men","1960-1969","High",1465,78,47,5.3,60.3,"Latin America"
"654",1036,"Honduras","Men","1960-1969","Low",1564,50,31,3.2,62,"Latin America"
"655",1038,"Honduras","Men","1970-1979","High",934,64,41,6.9,64.1,"Latin America"
"656",1039,"Honduras","Men","1970-1979","Low",2710,100,61,3.7,61,"Latin America"
"657",1040,"Honduras","Women","1950-1959","High",329,15,6,4.6,40,"Latin America"
"658",1041,"Honduras","Women","1950-1959","Low",383,20,10,5.2,50,"Latin America"
"659",1043,"Honduras","Women","1960-1969","High",533,32,12,6,37.5,"Latin America"
"660",1044,"Honduras","Women","1960-1969","Low",642,45,28,7,62.2,"Latin America"
"661",1045,"Honduras","Women","1970-1979","High",247,28,15,11.3,53.6,"Latin America"
"662",1046,"Honduras","Women","1970-1979","Low",935,91,47,9.7,51.6,"Latin America"
"663",1050,"Hungary","Men","1920-1929","Low",103,8,1,7.8,12.5,"Europe & North America"
"664",1051,"Hungary","Men","1920-1929","Medium",83,14,1,16.9,7.1,"Europe & North America"
"665",1052,"Hungary","Men","1930-1939","High",128,15,3,11.7,20,"Europe & North America"
"666",1053,"Hungary","Men","1930-1939","Low",315,30,7,9.5,23.3,"Europe & North America"
"667",1054,"Hungary","Men","1930-1939","Medium",363,40,6,11,15,"Europe & North America"
"668",1055,"Hungary","Men","1940-1949","High",222,22,4,9.9,18.2,"Europe & North America"
"669",1056,"Hungary","Men","1940-1949","Low",253,31,13,12.3,41.9,"Europe & North America"
"670",1057,"Hungary","Men","1940-1949","Medium",726,76,9,10.5,11.8,"Europe & North America"
"671",1058,"Hungary","Men","1950-1959","High",208,15,5,7.2,33.3,"Europe & North America"
"672",1059,"Hungary","Men","1950-1959","Low",238,55,32,23.1,58.2,"Europe & North America"
"673",1060,"Hungary","Men","1950-1959","Medium",1005,115,47,11.4,40.9,"Europe & North America"
"674",1061,"Hungary","Men","1960-1969","High",181,40,16,22.1,40,"Europe & North America"
"675",1062,"Hungary","Men","1960-1969","Low",152,38,22,25,57.9,"Europe & North America"
"676",1063,"Hungary","Men","1960-1969","Medium",841,168,80,20,47.6,"Europe & North America"
"677",1066,"Hungary","Men","1970-1979","Medium",127,39,16,30.7,41,"Europe & North America"
"678",1074,"Hungary","Women","1920-1929","Low",318,46,10,14.5,21.7,"Europe & North America"
"679",1075,"Hungary","Women","1920-1929","Medium",107,23,7,21.5,30.4,"Europe & North America"
"680",1077,"Hungary","Women","1930-1939","High",106,19,6,17.9,31.6,"Europe & North America"
"681",1078,"Hungary","Women","1930-1939","Low",813,69,11,8.5,15.9,"Europe & North America"
"682",1079,"Hungary","Women","1930-1939","Medium",406,53,16,13.1,30.2,"Europe & North America"
"683",1080,"Hungary","Women","1940-1949","High",218,25,9,11.5,36,"Europe & North America"
"684",1081,"Hungary","Women","1940-1949","Low",638,45,10,7.1,22.2,"Europe & North America"
"685",1082,"Hungary","Women","1940-1949","Medium",780,74,16,9.5,21.6,"Europe & North America"
"686",1084,"Hungary","Women","1950-1959","High",312,33,12,10.6,36.4,"Europe & North America"
"687",1085,"Hungary","Women","1950-1959","Low",475,27,7,5.7,25.9,"Europe & North America"
"688",1086,"Hungary","Women","1950-1959","Medium",1021,87,21,8.5,24.1,"Europe & North America"
"689",1087,"Hungary","Women","1960-1969","High",304,34,15,11.2,44.1,"Europe & North America"
"690",1088,"Hungary","Women","1960-1969","Low",245,23,9,9.4,39.1,"Europe & North America"
"691",1089,"Hungary","Women","1960-1969","Medium",878,70,22,8,31.4,"Europe & North America"
"692",1093,"Hungary","Women","1970-1979","Medium",129,26,8,20.2,30.8,"Europe & North America"
"693",1138,"India","Men","1960-1969","High",23325,1003,372,4.3,37.1,"Asia"
"694",1139,"India","Men","1960-1969","Low",28171,865,168,3.1,19.4,"Asia"
"695",1140,"India","Men","1970-1979","High",76976,3789,1592,4.9,42,"Asia"
"696",1141,"India","Men","1970-1979","Low",86018,3001,778,3.5,25.9,"Asia"
"697",1142,"India","Men","1980-1989","High",9223,744,370,8.1,49.7,"Asia"
"698",1143,"India","Men","1980-1989","Low",16016,793,238,5,30,"Asia"
"699",1144,"India","Women","1960-1969","High",7723,508,106,6.6,20.9,"Asia"
"700",1145,"India","Women","1960-1969","Low",8434,542,127,6.4,23.4,"Asia"
"701",1146,"India","Women","1970-1979","High",12153,1178,436,9.7,37,"Asia"
"702",1147,"India","Women","1970-1979","Low",12996,1087,380,8.4,35,"Asia"
"703",1148,"India","Women","1980-1989","High",1456,213,92,14.6,43.2,"Asia"
"704",1149,"India","Women","1980-1989","Low",2857,302,123,10.6,40.7,"Asia"
"705",1150,"Indonesia","Men","1960-1969","High",1368,94,40,6.9,42.6,"Asia"
"706",1151,"Indonesia","Men","1960-1969","Low",1402,74,26,5.3,35.1,"Asia"
"707",1153,"Indonesia","Men","1970-1979","High",5274,440,199,8.3,45.2,"Asia"
"708",1154,"Indonesia","Men","1970-1979","Low",8605,426,180,5,42.3,"Asia"
"709",1156,"Indonesia","Men","1980-1989","High",1808,156,65,8.6,41.7,"Asia"
"710",1157,"Indonesia","Men","1980-1989","Low",2402,122,56,5.1,45.9,"Asia"
"711",1159,"Indonesia","Women","1960-1969","High",988,17,NA,1.7,NA,"Asia"
"712",1160,"Indonesia","Women","1960-1969","Low",1334,33,NA,2.5,NA,"Asia"
"713",1162,"Indonesia","Women","1970-1979","High",1656,64,NA,3.9,NA,"Asia"
"714",1163,"Indonesia","Women","1970-1979","Low",1919,73,NA,3.8,NA,"Asia"
"715",1165,"Indonesia","Women","1980-1989","High",457,26,NA,5.7,NA,"Asia"
"716",1166,"Indonesia","Women","1980-1989","Low",586,30,NA,5.1,NA,"Asia"
"717",1173,"Ireland","Men","1930-1939","Low",99,31,21,31.3,67.7,"Europe & North America"
"718",1176,"Ireland","Men","1940-1949","High",82,12,5,14.6,41.7,"Europe & North America"
"719",1177,"Ireland","Men","1940-1949","Low",139,41,30,29.5,73.2,"Europe & North America"
"720",1180,"Ireland","Men","1950-1959","High",98,21,11,21.4,52.4,"Europe & North America"
"721",1181,"Ireland","Men","1950-1959","Low",138,40,32,29,80,"Europe & North America"
"722",1182,"Ireland","Men","1950-1959","Medium",70,20,15,28.6,75,"Europe & North America"
"723",1184,"Ireland","Men","1960-1969","High",118,30,11,25.4,36.7,"Europe & North America"
"724",1185,"Ireland","Men","1960-1969","Low",121,48,38,39.7,79.2,"Europe & North America"
"725",1186,"Ireland","Men","1960-1969","Medium",84,32,15,38.1,46.9,"Europe & North America"
"726",1188,"Ireland","Men","1970-1979","High",109,30,10,27.5,33.3,"Europe & North America"
"727",1190,"Ireland","Men","1970-1979","Medium",56,16,5,28.6,31.2,"Europe & North America"
"728",1203,"Ireland","Women","1930-1939","Low",85,13,8,15.3,61.5,"Europe & North America"
"729",1206,"Ireland","Women","1940-1949","High",59,14,12,23.7,85.7,"Europe & North America"
"730",1207,"Ireland","Women","1940-1949","Low",142,18,11,12.7,61.1,"Europe & North America"
"731",1208,"Ireland","Women","1940-1949","Medium",59,8,5,13.6,62.5,"Europe & North America"
"732",1210,"Ireland","Women","1950-1959","High",117,34,18,29.1,52.9,"Europe & North America"
"733",1211,"Ireland","Women","1950-1959","Low",123,15,7,12.2,46.7,"Europe & North America"
"734",1212,"Ireland","Women","1950-1959","Medium",91,16,11,17.6,68.8,"Europe & North America"
"735",1213,"Ireland","Women","1960-1969","High",175,32,20,18.3,62.5,"Europe & North America"
"736",1214,"Ireland","Women","1960-1969","Low",91,10,4,11,40,"Europe & North America"
"737",1215,"Ireland","Women","1960-1969","Medium",114,20,12,17.5,60,"Europe & North America"
"738",1217,"Ireland","Women","1970-1979","High",173,36,6,20.8,16.7,"Europe & North America"
"739",1219,"Ireland","Women","1970-1979","Medium",66,8,1,12.1,12.5,"Europe & North America"
"740",1221,"Ireland","Women","1980-1989","High",72,17,7,23.6,41.2,"Europe & North America"
"741",1238,"Italy","Men","1930-1939","Low",56,3,1,5.4,33.3,"Europe & North America"
"742",1242,"Italy","Men","1940-1949","Low",109,11,4,10.1,36.4,"Europe & North America"
"743",1245,"Italy","Men","1950-1959","Low",95,17,8,17.9,47.1,"Europe & North America"
"744",1246,"Italy","Men","1950-1959","Medium",67,10,2,14.9,20,"Europe & North America"
"745",1249,"Italy","Men","1960-1969","Low",94,26,16,27.7,61.5,"Europe & North America"
"746",1250,"Italy","Men","1960-1969","Medium",92,30,6,32.6,20,"Europe & North America"
"747",1252,"Italy","Men","1970-1979","High",57,26,10,45.6,38.5,"Europe & North America"
"748",1253,"Italy","Men","1970-1979","Low",66,22,12,33.3,54.5,"Europe & North America"
"749",1254,"Italy","Men","1970-1979","Medium",99,36,21,36.4,58.3,"Europe & North America"
"750",1263,"Italy","Women","1930-1939","Low",101,5,2,5,40,"Europe & North America"
"751",1267,"Italy","Women","1940-1949","Low",131,14,5,10.7,35.7,"Europe & North America"
"752",1270,"Italy","Women","1950-1959","Low",122,15,7,12.3,46.7,"Europe & North America"
"753",1271,"Italy","Women","1950-1959","Medium",66,14,3,21.2,21.4,"Europe & North America"
"754",1274,"Italy","Women","1960-1969","Low",120,31,12,25.8,38.7,"Europe & North America"
"755",1275,"Italy","Women","1960-1969","Medium",115,33,10,28.7,30.3,"Europe & North America"
"756",1278,"Italy","Women","1970-1979","Low",62,18,10,29,55.6,"Europe & North America"
"757",1279,"Italy","Women","1970-1979","Medium",115,28,14,24.3,50,"Europe & North America"
"758",1285,"Ivory Coast","Men","1960-1969","High",333,14,6,4.2,42.9,"Africa"
"759",1286,"Ivory Coast","Men","1960-1969","Low",775,18,3,2.3,16.7,"Africa"
"760",1287,"Ivory Coast","Men","1970-1979","High",556,36,18,6.5,50,"Africa"
"761",1288,"Ivory Coast","Men","1970-1979","Low",1071,24,5,2.2,20.8,"Africa"
"762",1290,"Ivory Coast","Women","1950-1959","High",160,1,1,0.6,100,"Africa"
"763",1291,"Ivory Coast","Women","1950-1959","Low",174,2,NA,1.1,NA,"Africa"
"764",1292,"Ivory Coast","Women","1960-1969","High",348,12,4,3.4,33.3,"Africa"
"765",1293,"Ivory Coast","Women","1960-1969","Low",405,10,5,2.5,50,"Africa"
"766",1294,"Ivory Coast","Women","1970-1979","High",393,31,20,7.9,64.5,"Africa"
"767",1295,"Ivory Coast","Women","1970-1979","Low",399,20,12,5,60,"Africa"
"768",1298,"Kazakhstan","Men","1950-1959","High",617,47,34,7.6,72.3,"FSU"
"769",1299,"Kazakhstan","Men","1950-1959","Low",635,28,16,4.4,57.1,"FSU"
"770",1300,"Kazakhstan","Men","1960-1969","High",201,15,10,7.5,66.7,"FSU"
"771",1301,"Kazakhstan","Men","1960-1969","Low",509,24,14,4.7,58.3,"FSU"
"772",1304,"Kazakhstan","Women","1940-1949","High",82,2,1,2.4,50,"FSU"
"773",1305,"Kazakhstan","Women","1940-1949","Low",88,3,NA,3.4,NA,"FSU"
"774",1306,"Kazakhstan","Women","1950-1959","High",154,12,6,7.8,50,"FSU"
"775",1307,"Kazakhstan","Women","1950-1959","Low",154,4,4,2.6,100,"FSU"
"776",1309,"Kazakhstan","Women","1960-1969","High",86,9,6,10.5,66.7,"FSU"
"777",1310,"Kazakhstan","Women","1960-1969","Low",113,6,3,5.3,50,"FSU"
"778",1311,"Kenya","Men","1960-1969","High",1034,20,9,1.9,45,"Africa"
"779",1312,"Kenya","Men","1960-1969","Low",1486,25,4,1.7,16,"Africa"
"780",1313,"Kenya","Men","1970-1979","High",1919,75,45,3.9,60,"Africa"
"781",1314,"Kenya","Men","1970-1979","Low",4766,72,25,1.5,34.7,"Africa"
"782",1317,"Kenya","Women","1960-1969","High",859,19,13,2.2,68.4,"Africa"
"783",1318,"Kenya","Women","1960-1969","Low",866,32,17,3.7,53.1,"Africa"
"784",1319,"Kenya","Women","1970-1979","High",990,46,27,4.6,58.7,"Africa"
"785",1320,"Kenya","Women","1970-1979","Low",1626,99,66,6.1,66.7,"Africa"
"786",1321,"Kyrgyzstan","Men","1960-1969","High",584,14,7,2.4,50,"FSU"
"787",1322,"Kyrgyzstan","Men","1960-1969","Low",725,21,5,2.9,23.8,"FSU"
"788",1323,"Kyrgyzstan","Men","1970-1979","High",585,26,7,4.4,26.9,"FSU"
"789",1324,"Kyrgyzstan","Men","1970-1979","Low",881,22,9,2.5,40.9,"FSU"
"790",1325,"Kyrgyzstan","Women","1960-1969","High",188,3,NA,1.6,NA,"FSU"
"791",1326,"Kyrgyzstan","Women","1960-1969","Low",199,6,4,3,66.7,"FSU"
"792",1327,"Kyrgyzstan","Women","1970-1979","High",146,5,2,3.4,40,"FSU"
"793",1328,"Kyrgyzstan","Women","1970-1979","Low",348,19,7,5.5,36.8,"FSU"
"794",1355,"Latvia","Women","1940-1949","Medium",54,1,NA,1.9,NA,"FSU"
"795",1358,"Latvia","Women","1950-1959","Medium",84,8,NA,9.5,NA,"FSU"
"796",1361,"Latvia","Women","1960-1969","Medium",70,6,3,8.6,50,"FSU"
"797",1368,"Lesotho","Men","1960-1969","High",158,9,5,5.7,55.6,"Africa"
"798",1369,"Lesotho","Men","1960-1969","Low",346,13,1,3.8,7.7,"Africa"
"799",1370,"Lesotho","Men","1970-1979","High",493,30,8,6.1,26.7,"Africa"
"800",1371,"Lesotho","Men","1970-1979","Low",803,25,8,3.1,32,"Africa"
"801",1372,"Lesotho","Women","1950-1959","High",65,4,1,6.2,25,"Africa"
"802",1373,"Lesotho","Women","1950-1959","Low",76,5,3,6.6,60,"Africa"
"803",1374,"Lesotho","Women","1960-1969","High",151,12,9,7.9,75,"Africa"
"804",1375,"Lesotho","Women","1960-1969","Low",183,20,9,10.9,45,"Africa"
"805",1376,"Lesotho","Women","1970-1979","High",214,34,20,15.9,58.8,"Africa"
"806",1377,"Lesotho","Women","1970-1979","Low",279,52,44,18.6,84.6,"Africa"
"807",1380,"Liberia","Men","1970-1979","High",520,6,3,1.2,50,"Africa"
"808",1381,"Liberia","Men","1970-1979","Low",1049,8,1,0.8,12.5,"Africa"
"809",1382,"Liberia","Men","1980-1989","High",431,6,2,1.4,33.3,"Africa"
"810",1383,"Liberia","Men","1980-1989","Low",677,8,2,1.2,25,"Africa"
"811",1385,"Liberia","Women","1960-1969","High",231,NA,NA,NA,NA,"Africa"
"812",1386,"Liberia","Women","1960-1969","Low",256,5,3,2,60,"Africa"
"813",1387,"Liberia","Women","1970-1979","High",389,5,3,1.3,60,"Africa"
"814",1388,"Liberia","Women","1970-1979","Low",452,6,3,1.3,50,"Africa"
"815",1389,"Liberia","Women","1980-1989","High",187,1,NA,0.5,NA,"Africa"
"816",1390,"Liberia","Women","1980-1989","Low",309,4,3,1.3,75,"Africa"
"817",1392,"Lithuania","Men","1920-1929","Low",117,30,14,25.6,46.7,"FSU"
"818",1394,"Lithuania","Men","1930-1939","High",116,15,2,12.9,13.3,"FSU"
"819",1395,"Lithuania","Men","1930-1939","Low",449,99,43,22,43.4,"FSU"
"820",1396,"Lithuania","Men","1930-1939","Medium",194,23,8,11.9,34.8,"FSU"
"821",1397,"Lithuania","Men","1940-1949","High",117,9,5,7.7,55.6,"FSU"
"822",1398,"Lithuania","Men","1940-1949","Low",283,59,20,20.8,33.9,"FSU"
"823",1399,"Lithuania","Men","1940-1949","Medium",320,42,17,13.1,40.5,"FSU"
"824",1401,"Lithuania","Men","1950-1959","High",209,19,9,9.1,47.4,"FSU"
"825",1402,"Lithuania","Men","1950-1959","Low",171,54,31,31.6,57.4,"FSU"
"826",1403,"Lithuania","Men","1950-1959","Medium",620,79,35,12.7,44.3,"FSU"
"827",1404,"Lithuania","Men","1960-1969","High",221,18,5,8.1,27.8,"FSU"
"828",1405,"Lithuania","Men","1960-1969","Low",119,34,17,28.6,50,"FSU"
"829",1406,"Lithuania","Men","1960-1969","Medium",666,92,57,13.8,62,"FSU"
"830",1410,"Lithuania","Men","1970-1979","Medium",133,28,16,21.1,57.1,"FSU"
"831",1415,"Lithuania","Women","1920-1929","Low",119,34,20,28.6,58.8,"FSU"
"832",1417,"Lithuania","Women","1930-1939","High",103,23,11,22.3,47.8,"FSU"
"833",1418,"Lithuania","Women","1930-1939","Low",550,107,60,19.5,56.1,"FSU"
"834",1419,"Lithuania","Women","1930-1939","Medium",251,40,18,15.9,45,"FSU"
"835",1420,"Lithuania","Women","1940-1949","High",214,29,18,13.6,62.1,"FSU"
"836",1421,"Lithuania","Women","1940-1949","Low",292,44,19,15.1,43.2,"FSU"
"837",1422,"Lithuania","Women","1940-1949","Medium",511,58,29,11.4,50,"FSU"
"838",1424,"Lithuania","Women","1950-1959","High",353,57,31,16.1,54.4,"FSU"
"839",1425,"Lithuania","Women","1950-1959","Low",94,21,9,22.3,42.9,"FSU"
"840",1426,"Lithuania","Women","1950-1959","Medium",650,65,33,10,50.8,"FSU"
"841",1428,"Lithuania","Women","1960-1969","High",373,43,23,11.5,53.5,"FSU"
"842",1429,"Lithuania","Women","1960-1969","Low",60,6,3,10,50,"FSU"
"843",1430,"Lithuania","Women","1960-1969","Medium",737,67,35,9.1,52.2,"FSU"
"844",1431,"Lithuania","Women","1970-1979","High",107,17,11,15.9,64.7,"FSU"
"845",1433,"Lithuania","Women","1970-1979","Medium",147,16,11,10.9,68.8,"FSU"
"846",1437,"Madagascar","Men","1950-1959","High",91,5,1,5.5,20,"Africa"
"847",1438,"Madagascar","Men","1950-1959","Low",95,5,NA,5.3,NA,"Africa"
"848",1439,"Madagascar","Men","1960-1969","High",1301,76,24,5.8,31.6,"Africa"
"849",1440,"Madagascar","Men","1960-1969","Low",1981,92,9,4.6,9.8,"Africa"
"850",1442,"Madagascar","Men","1970-1979","High",680,35,12,5.1,34.3,"Africa"
"851",1443,"Madagascar","Men","1970-1979","Low",1066,34,6,3.2,17.6,"Africa"
"852",1447,"Madagascar","Women","1950-1959","High",482,13,6,2.7,46.2,"Africa"
"853",1448,"Madagascar","Women","1950-1959","Low",494,19,2,3.8,10.5,"Africa"
"854",1450,"Madagascar","Women","1960-1969","High",649,28,10,4.3,35.7,"Africa"
"855",1451,"Madagascar","Women","1960-1969","Low",819,37,9,4.5,24.3,"Africa"
"856",1453,"Madagascar","Women","1970-1979","High",319,27,13,8.5,48.1,"Africa"
"857",1454,"Madagascar","Women","1970-1979","Low",468,28,9,6,32.1,"Africa"
"858",1455,"Malawi","Men","1960-1969","High",517,7,NA,1.4,NA,"Africa"
"859",1456,"Malawi","Men","1960-1969","Low",610,8,NA,1.3,NA,"Africa"
"860",1457,"Malawi","Men","1970-1979","High",2114,23,5,1.1,21.7,"Africa"
"861",1458,"Malawi","Men","1970-1979","Low",2490,38,5,1.5,13.2,"Africa"
"862",1459,"Malawi","Men","1980-1989","High",331,7,5,2.1,71.4,"Africa"
"863",1460,"Malawi","Men","1980-1989","Low",509,9,2,1.8,22.2,"Africa"
"864",1461,"Malawi","Women","1960-1969","High",326,8,4,2.5,50,"Africa"
"865",1462,"Malawi","Women","1960-1969","Low",350,4,2,1.1,50,"Africa"
"866",1463,"Malawi","Women","1970-1979","High",647,16,8,2.5,50,"Africa"
"867",1464,"Malawi","Women","1970-1979","Low",719,20,11,2.8,55,"Africa"
"868",1465,"Malawi","Women","1980-1989","High",117,2,2,1.7,100,"Africa"
"869",1466,"Malawi","Women","1980-1989","Low",118,1,NA,0.8,NA,"Africa"
"870",1467,"Maldives","Men","1960-1969","High",148,11,2,7.4,18.2,"Asia"
"871",1468,"Maldives","Men","1960-1969","Low",213,5,1,2.3,20,"Asia"
"872",1469,"Maldives","Men","1970-1979","High",403,16,3,4,18.8,"Asia"
"873",1470,"Maldives","Men","1970-1979","Low",1363,61,18,4.5,29.5,"Asia"
"874",1471,"Maldives","Men","1980-1989","High",70,6,1,8.6,16.7,"Asia"
"875",1472,"Maldives","Men","1980-1989","Low",489,29,6,5.9,20.7,"Asia"
"876",1473,"Maldives","Women","1960-1969","High",101,9,2,8.9,22.2,"Asia"
"877",1474,"Maldives","Women","1960-1969","Low",103,6,3,5.8,50,"Asia"
"878",1475,"Maldives","Women","1970-1979","High",369,37,15,10,40.5,"Asia"
"879",1476,"Maldives","Women","1970-1979","Low",550,52,18,9.5,34.6,"Asia"
"880",1478,"Maldives","Women","1980-1989","Low",200,28,10,14,35.7,"Asia"
"881",1480,"Mali","Men","1960-1969","Low",109,2,NA,1.8,NA,"Africa"
"882",1481,"Mali","Men","1970-1979","High",288,10,3,3.5,30,"Africa"
"883",1482,"Mali","Men","1970-1979","Low",1435,40,5,2.8,12.5,"Africa"
"884",1483,"Mali","Men","1980-1989","High",172,9,1,5.2,11.1,"Africa"
"885",1484,"Mali","Men","1980-1989","Low",823,30,4,3.6,13.3,"Africa"
"886",1487,"Mali","Women","1960-1969","High",173,2,NA,1.2,NA,"Africa"
"887",1488,"Mali","Women","1960-1969","Low",456,8,2,1.8,25,"Africa"
