"","X","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion","continent"
"360",561,"Czechia","Men","1960-1969","High",216,53,29,24.5,54.7,"Europe & North America"
"361",562,"Czechia","Men","1960-1969","Low",126,49,33,38.9,67.3,"Europe & North America"
"362",563,"Czechia","Men","1960-1969","Medium",659,142,77,21.5,54.2,"Europe & North America"
"363",567,"Czechia","Men","1970-1979","Medium",183,40,18,21.9,45,"Europe & North America"
"364",571,"Czechia","Men","1980-1989","Medium",65,29,13,44.6,44.8,"Europe & North America"
"365",573,"Czechia","Women","1920-1929","Low",145,27,13,18.6,48.1,"Europe & North America"
"366",574,"Czechia","Women","1920-1929","Medium",108,27,11,25,40.7,"Europe & North America"
"367",577,"Czechia","Women","1930-1939","Low",265,41,20,15.5,48.8,"Europe & North America"
"368",578,"Czechia","Women","1930-1939","Medium",352,50,18,14.2,36,"Europe & North America"
"369",580,"Czechia","Women","1940-1949","High",98,19,8,19.4,42.1,"Europe & North America"
"370",581,"Czechia","Women","1940-1949","Low",232,34,15,14.7,44.1,"Europe & North America"
"371",582,"Czechia","Women","1940-1949","Medium",657,58,18,8.8,31,"Europe & North America"
"372",584,"Czechia","Women","1950-1959","High",143,13,3,9.1,23.1,"Europe & North America"
"373",585,"Czechia","Women","1950-1959","Low",201,27,14,13.4,51.9,"Europe & North America"
"374",586,"Czechia","Women","1950-1959","Medium",759,72,19,9.5,26.4,"Europe & North America"
"375",588,"Czechia","Women","1960-1969","High",162,18,10,11.1,55.6,"Europe & North America"
"376",589,"Czechia","Women","1960-1969","Low",129,21,11,16.3,52.4,"Europe & North America"
"377",590,"Czechia","Women","1960-1969","Medium",809,86,30,10.6,34.9,"Europe & North America"
"378",592,"Czechia","Women","1970-1979","High",51,11,4,21.6,36.4,"Europe & North America"
"379",594,"Czechia","Women","1970-1979","Medium",203,20,6,9.9,30,"Europe & North America"
"380",598,"Czechia","Women","1980-1989","Medium",64,16,5,25,31.2,"Europe & North America"
"381",599,"D.R.Congo","Men","1960-1969","High",735,23,8,3.1,34.8,"Africa"
"382",600,"D.R.Congo","Men","1960-1969","Low",858,20,NA,2.3,NA,"Africa"
"383",601,"D.R.Congo","Men","1970-1979","High",1626,59,26,3.6,44.1,"Africa"
"384",602,"D.R.Congo","Men","1970-1979","Low",1890,53,6,2.8,11.3,"Africa"
"385",603,"D.R.Congo","Women","1950-1959","High",253,2,NA,0.8,NA,"Africa"
"386",604,"D.R.Congo","Women","1950-1959","Low",264,7,3,2.7,42.9,"Africa"
"387",605,"D.R.Congo","Women","1960-1969","High",558,8,2,1.4,25,"Africa"
"388",606,"D.R.Congo","Women","1960-1969","Low",720,24,8,3.3,33.3,"Africa"
"389",607,"D.R.Congo","Women","1970-1979","High",623,20,9,3.2,45,"Africa"
"390",608,"D.R.Congo","Women","1970-1979","Low",854,28,11,3.3,39.3,"Africa"
"391",620,"Denmark","Men","1940-1949","High",106,9,NA,8.5,NA,"Europe & North America"
"392",622,"Denmark","Men","1940-1949","Medium",103,10,3,9.7,30,"Europe & North America"
"393",624,"Denmark","Men","1950-1959","High",131,24,5,18.3,20.8,"Europe & North America"
"394",626,"Denmark","Men","1950-1959","Medium",105,13,1,12.4,7.7,"Europe & North America"
"395",628,"Denmark","Men","1960-1969","High",139,21,4,15.1,19,"Europe & North America"
"396",630,"Denmark","Men","1960-1969","Medium",103,23,5,22.3,21.7,"Europe & North America"
"397",632,"Denmark","Men","1970-1979","High",72,13,5,18.1,38.5,"Europe & North America"
"398",634,"Denmark","Men","1970-1979","Medium",54,11,1,20.4,9.1,"Europe & North America"
"399",648,"Denmark","Women","1940-1949","High",119,17,NA,14.3,NA,"Europe & North America"
"400",649,"Denmark","Women","1940-1949","Low",72,6,1,8.3,16.7,"Europe & North America"
"401",650,"Denmark","Women","1940-1949","Medium",81,3,NA,3.7,NA,"Europe & North America"
"402",652,"Denmark","Women","1950-1959","High",140,25,2,17.9,8,"Europe & North America"
"403",654,"Denmark","Women","1950-1959","Medium",68,8,NA,11.8,NA,"Europe & North America"
"404",656,"Denmark","Women","1960-1969","High",133,19,2,14.3,10.5,"Europe & North America"
"405",658,"Denmark","Women","1960-1969","Medium",79,12,2,15.2,16.7,"Europe & North America"
"406",660,"Denmark","Women","1970-1979","High",108,16,3,14.8,18.8,"Europe & North America"
"407",668,"Dominican Republic","Men","1950-1959","High",1544,92,27,6,29.3,"Latin America"
"408",669,"Dominican Republic","Men","1950-1959","Low",1701,47,5,2.8,10.6,"Latin America"
"409",671,"Dominican Republic","Men","1960-1969","High",1739,98,50,5.6,51,"Latin America"
"410",672,"Dominican Republic","Men","1960-1969","Low",2737,87,21,3.2,24.1,"Latin America"
"411",674,"Dominican Republic","Women","1940-1949","High",104,5,3,4.8,60,"Latin America"
"412",675,"Dominican Republic","Women","1940-1949","Low",146,13,6,8.9,46.2,"Latin America"
"413",677,"Dominican Republic","Women","1950-1959","High",194,8,2,4.1,25,"Latin America"
"414",678,"Dominican Republic","Women","1950-1959","Low",237,22,6,9.3,27.3,"Latin America"
"415",679,"Dominican Republic","Women","1960-1969","High",218,25,9,11.5,36,"Latin America"
"416",680,"Dominican Republic","Women","1960-1969","Low",238,37,14,15.5,37.8,"Latin America"
"417",683,"Estonia","Men","1920-1929","Low",86,11,2,12.8,18.2,"Europe & North America"
"418",685,"Estonia","Men","1930-1939","High",115,11,2,9.6,18.2,"Europe & North America"
"419",686,"Estonia","Men","1930-1939","Low",254,34,6,13.4,17.6,"Europe & North America"
"420",687,"Estonia","Men","1930-1939","Medium",140,5,2,3.6,40,"Europe & North America"
"421",689,"Estonia","Men","1940-1949","High",192,9,2,4.7,22.2,"Europe & North America"
"422",690,"Estonia","Men","1940-1949","Low",196,28,9,14.3,32.1,"Europe & North America"
"423",691,"Estonia","Men","1940-1949","Medium",248,23,6,9.3,26.1,"Europe & North America"
"424",692,"Estonia","Men","1950-1959","High",195,13,3,6.7,23.1,"Europe & North America"
"425",693,"Estonia","Men","1950-1959","Low",132,27,10,20.5,37,"Europe & North America"
"426",694,"Estonia","Men","1950-1959","Medium",434,40,13,9.2,32.5,"Europe & North America"
"427",695,"Estonia","Men","1960-1969","High",179,23,5,12.8,21.7,"Europe & North America"
"428",696,"Estonia","Men","1960-1969","Low",69,16,9,23.2,56.2,"Europe & North America"
"429",697,"Estonia","Men","1960-1969","Medium",495,73,29,14.7,39.7,"Europe & North America"
"430",698,"Estonia","Men","1970-1979","High",75,12,4,16,33.3,"Europe & North America"
"431",700,"Estonia","Men","1970-1979","Medium",101,22,9,21.8,40.9,"Europe & North America"
