country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Azerbaijan,Men,1960-1969,High,265.95224880054593,16.73604203760624,3.083387017250061
Azerbaijan,Men,1960-1969,Low,354.71280571073294,16.489116795361042,6.756885029375553
Azerbaijan,Men,1960-1969,NA,0.6798570156097412,0,NA
Azerbaijan,Men,1970-1979,High,40.82538416236639,1.690068006515503,1.0409669876098633
Azerbaijan,Men,1970-1979,Low,80.70906391739845,9.650356009602547,5.5149920135736465
Azerbaijan,Men,1970-1979,NA,1.0409669876098633,1.0409669876098633,0
Azerbaijan,Women,1950-1959,High,224.18398385122418,16.9588810428977,10.00720501691103
Azerbaijan,Women,1950-1959,Low,340.69051087647676,32.641617000103,20.59376100450754
Azerbaijan,Women,1960-1969,High,848.1379284411669,84.65718024969101,53.14731711149216
Azerbaijan,Women,1960-1969,Low,1611.1406334154308,172.8682729974389,103.72654736042023
Azerbaijan,Women,1970-1979,High,144.77328342944384,32.162460178136826,29.806597143411636
Azerbaijan,Women,1970-1979,Low,291.769980661571,59.80655899643898,42.873305052518845
Belarus,Men,1930-1939,High,23.20056563615799,3.3782618045806885,1.9054919481277466
Belarus,Men,1930-1939,Low,13.538599133491516,0,0
Belarus,Men,1930-1939,NA,7.04272848367691,0,NA
Belarus,Men,1940-1949,High,133.57730254530907,6.505745589733124,3.004220128059387
Belarus,Men,1940-1949,Low,136.68985557556152,6.388819187879562,2.441097229719162
Belarus,Men,1940-1949,NA,13.227896094322205,0,NA
Belarus,Men,1950-1959,High,384.1822709739208,28.176742553710938,9.904233634471893
Belarus,Men,1950-1959,Low,282.94141110777855,15.556121557950974,7.028472036123276
Belarus,Men,1950-1959,NA,3.8103372156620026,1.2816661894321442,0.8389379382133484
Belarus,Men,1960-1969,High,496.91030272841454,36.839500069618225,15.022912561893463
Belarus,Men,1960-1969,Low,407.964184820652,49.872084230184555,15.46726268529892
Belarus,Men,1960-1969,NA,3.527077078819275,0.8833072185516357,0
Belarus,Men,1970-1979,High,421.8059795498848,64.99767810106277,24.42714214324951
Belarus,Men,1970-1979,Low,426.5153383612633,49.691103994846344,25.63961809873581
Belarus,Men,1970-1979,NA,2.9209917783737183,1.949292540550232,0.9028352499008179
Belarus,Men,1980-1989,High,41.992702305316925,6.497007817029953,3.0163815915584564
Belarus,Men,1980-1989,Low,209.33397376537323,46.23739701509476,17.26276722550392
Belarus,Women,1920-1929,High,0,0,NA
Belarus,Women,1930-1939,High,49.35049664974213,6.960462272167206,3.494471490383148
Belarus,Women,1930-1939,Low,43.9900027513504,2.4131184816360474,2.4131184816360474
Belarus,Women,1930-1939,NA,25.464863300323486,1.415961742401123,1.415961742401123
Belarus,Women,1940-1949,High,239.4455388188362,24.21397113800049,16.491394460201263
Belarus,Women,1940-1949,Low,256.1729502379894,25.392096996307373,13.903016567230225
Belarus,Women,1940-1949,NA,49.614997029304504,5.178984761238098,2.96237850189209
Belarus,Women,1950-1959,High,552.6818923354149,33.375291615724564,15.555375277996063
Belarus,Women,1950-1959,Low,397.18207290768623,23.51134890317917,13.943941593170166
Belarus,Women,1950-1959,NA,11.020031243562698,0.4639790654182434,0
Belarus,Women,1960-1969,High,492.2265073657036,44.565417766571045,23.06717324256897
Belarus,Women,1960-1969,Low,500.6491578221321,27.43776175379753,17.586548149585724
Belarus,Women,1960-1969,NA,1.9498461484909058,0,NA
Belarus,Women,1970-1979,High,499.5299127995968,47.84832030534744,23.50626090168953
Belarus,Women,1970-1979,Low,446.1017836332321,17.80860474705696,5.363660365343094
Belarus,Women,1970-1979,NA,0.5395246744155884,0,NA
Belarus,Women,1980-1989,High,45.75903248786926,6.984038710594177,1.770666778087616
Belarus,Women,1980-1989,Low,195.8971651494503,18.317890256643295,5.8144888281822205
Belarus,Women,1980-1989,NA,0.5395246744155884,0,NA
Belgium,Men,1910-1919,High,1.0757661299472865,0,NA
Belgium,Men,1910-1919,Low,1.7037669541593061,0.6946354532343122,0
Belgium,Men,1920-1929,High,28.47356290694721,9.238434676585186,2.5450751823758964
Belgium,Men,1920-1929,Low,31.05469963436492,3.49447370789008,0.504565750462497
Belgium,Men,1920-1929,NA,2.864562749862671,0,NA
